单宁酸                                                           010511
酒石酸                                                           010515
工业用谷氨酸                                                            010683
冰醋酸                                                           C010046
蚁酸                                                            C010047
稀醋酸                                                           C010048
丙酸                                                            C010049
丁酸                                                            C010050
甲基丙烯酸                                                           C010051
琥珀酸                                                           C010052
己二酸                                                           C010053
氯乙酸                                                           C010054
环烷酸                                                           C010055
石油磺酸                                                            C010056
对苯二甲酸                                                           C010057
苯醋酸                                                           C010058
邻苯二甲酸酐                                                            C010059
顺丁烯二酸酐(即失水草果酸酐)                                                           C010060
没食子酸                                                            C010073
醋酸盐(化学品)                                                           010007
草酸氢钾                                                            010123
醋酸钙                                                           010171
化学用酒石酸氢钾                                                            010219
一水草酸氢钾                                                            010410
草酸盐                                                           010411
醋酸铅                                                           010440
非药用酒石                                                           010514
工业用藻酸盐                                                            010564
乙酸铝                                                            010565
醋酸铝                                                            010565
工业用酒石酸氢钾                                                            010668
米吐尔                                                           C010061
氯化苄                                                           C010062
蚁酸钠                                                           C010063
醋酸钾                                                           C010064
醋酸锌                                                           C010065
醋酸钴                                                           C010066
醋酸锰                                                           C010067
吐酒石(即酒石酸锑钾)                                                           C010068
酒石酸锑钠                                                           C010069
戊基醋酸盐                                                           C010072
乙炔                                                            010012
四氯乙烷                                                            010013
苯衍生物                                                            010111
甲基异丙基苯                                                            010230
乙烷                                                            010280
甲烷                                                            010394
萘                                                           010399
四氯化碳                                                            010528
四氯化物                                                            010529
甲苯                                                            010538
工业用甲基苯                                                            010576
甲基苯                                                           010577
工业用樟脑                                                           010638
混合二甲苯                                                           010711
二甲苯                                                           010712
苯                                                           010713
粗制苯                                                           010714
乙烯                                                            C010074
丁烯                                                            C010075
异丁烯                                                           C010076
异戊二烯                                                            C010077
乙基苯                                                           C010078
苯乙烯                                                           C010079
异丙苯                                                           C010080
苯烷                                                            C010081
轻苯                                                            C010083
氯乙烯                                                           C010084
氯丁二烯                                                            C010085
二氯乙烷                                                            C010086
环氧丙烷                                                            C010087
一氯甲烷                                                            C010088
二氯甲烷                                                            C010089
工业用三氯甲烷                                                           C010090
氯乙烷                                                           C010091
三氯乙烯                                                            C010092
过氯乙烯                                                            C010093
偏氯乙烯                                                            C010094
对二氯苯                                                            C010095
邻二氯苯                                                            C010096
二硝基氯化苯                                                            C010097
对硝基氯化苯                                                            C010098
邻硝基氯化苯                                                            C010099
联苯                                                            C010100
间二氯苯                                                            C010101
环氧乙烷                                                            C010120
酒精                                                           010040
乙醇                                                            010041
戊醇                                                            010065
木醇                                                            010131
工业用甘油                                                           010252
乙二醇                                                           010337
酒精                                                            010547
精甲醇                                                           C010102
异丙醇                                                           C010103
丁醇                                                            C010104
辛醇                                                            C010105
丙二醇                                                           C010106
氯乙醇                                                           C010107
丙烯醇                                                           C010108
异丁醇                                                           C010109
叔丁醇                                                           C010110
己醇                                                            C010111
环己醇                                                           C010112
一缩二乙二醇                                                            C010113
二缩三乙二醇                                                            C010114
季戊四醇                                                            C010115
糖醇                                                            C010116
山梨醇                                                           C010117
醚                                                            010281
乙醚                                                            010282
乙二醇醚                                                            010283
甲醚                                                            010284
硫酸醚                                                           010285
联苯醚                                                           C010119
异丙醚                                                           C010121
工业用酚                                                            010426
工业用类黄酮(酚类化合物)                                                           010703
工业用麝香草酚                                                           010704
肉桂油                                                           C010071
愈疮木酚                                                            C010122
对硝基苯酚                                                           C010123
对苯二酚                                                            C010124
间苯二酚                                                            C010125
对硝基苯酚钠                                                            C010126
对氨基酚                                                            C010127
间氨基酚                                                            C010128
苯酚                                                            C010129
2-萘酚                                                            C010130
联氨                                                            010358
对称二苯硫脲                                                            010533
生物碱                                                            010562
苯胺                                                            C010082
一乙基苯胺                                                           C010131
二苯胺                                                           C010132
乙酰苯胺                                                            C010133
苯乙酰胺                                                            C010134
多乙烯多胺                                                           C010135
甲萘胺                                                           C010136
盐酸羟基胺                                                           C010137
双氰胺                                                           C010138
三聚氰胺                                                            C010139
甲酰胺                                                           C010140
一甲胺                                                           C010141
二甲胺                                                           C010142
二乙胺                                                           C010143
乙二胺                                                           C010144
三乙醇胺                                                            C010145
二乙醇胺                                                            C010146
一乙醇胺                                                            C010147
硫脲                                                            C010148
硝酸胍                                                           C010149
硫酸肼                                                           C010150
过氧化二苯甲醇                                                           C010151
乙腈                                                            C010152
三氯三聚氰                                                           C010153
皂素                                                            C010154
四甲基吡啶                                                           C010155
溴化棕榈酸吡啶                                                           C010156
丙烯腈                                                           C010157
丙酮                                                            010011
酮                                                           010164
环己酮                                                           C010164
对硝基苯乙酮                                                            C010165
双乙酮                                                           C010166
醛                                                            010042
氨醛                                                            010062
巴豆醛                                                           010220
化学用甲醛                                                           010311
苯甲醛                                                           C010158
丁醛                                                            C010159
糠醛                                                            C010160
庚醛                                                            C010161
三聚甲醛                                                            C010162
多聚甲醛                                                            C010163
丙烯醛                                                           C010167
乙酸戊酯                                                            010064
酯                                                            010279
甘油酯                                                           010336
硫酸二甲酯                                                           C010168
乙酰乙酸乙酯                                                            C010169
甲基丙烯酸甲酯                                                           C010170
磷酸三丁酯                                                           C010171
醛酯                                                            C010172
丙烯乙酯                                                            C010174
丁酯                                                            C010175
丙烯酸2-乙基乙酯                                                           C010176
琼脂                                                            010029
动植物白朊(原料)                                                           010033
碘化蛋白                                                            010034
麦芽蛋白                                                            010035
动物蛋白(原料)                                                            010069
磷脂                                                            010429
蛋白质(原料)                                                           010452
卵磷脂(原料)                                                           010588
工业酪蛋白                                                           010591
工业用卵磷脂                                                            010664
工业用果胶                                                           010666
工业用谷蛋白                                                            010671
工业用胶原蛋白                                                           010688
生产用蛋白质                                                            010697
工业用淀粉                                                           010055
纤维素                                                           010155
糖苷                                                            010335
碳水化合物                                                           010357
工业用木薯粉                                                            010512
工业用纤维素酯                                                           010590
纤维素衍生物(化学品)                                                           010592
工业用纤维素醚                                                           010593
工业用葡萄糖                                                            010614
工业用乳糖                                                           010673
乳糖(原料)                                                            010674
工业淀粉酶                                                           010244
工业用酶制剂                                                            010272
工业用酶                                                            010273
化学用酵素                                                           010291
表面活性剂                                                           010518
工业用过氧化氢                                                           010414
蒸馏水                                                           010247
硅胶                                                            C010020
锕                                                           010018
镅                                                           010054
原子堆用燃料                                                            010087
锫                                                           010115
锎                                                           010142
镄                                                           010159
核反应堆减速材料                                                            010179
可裂变的化学元素                                                            010180
锔                                                           010226
重水                                                            010253
核能用可裂变物质                                                            010297
钫                                                           010314
工业用同位素                                                            010369
镎                                                           010402
钚                                                           010442
钋                                                           010443
钷                                                           010450
镤                                                           010451
科学用放射性元素                                                            010456
科学用镭                                                            010458
钍                                                           010535
铀                                                           010542
氧化铀                                                           010543
纺织工业用上浆料                                                            010077
纺织品上光化学品                                                            010091
长袜用防抽丝物质                                                            010105
漂白用润湿剂                                                            010127
漂白用浸湿剂                                                            010127
蜡漂白化学品                                                            010128
罩面漆和底漆上浆料                                                           010202
织物用防污化学品                                                            010286
纺织工业用漂洗剂                                                            010312
